Titre,source,fausse représentation enviro,dénigre la mobilité durable,conduite dangereuse,association au succès,stéréotype-sexist-masculinité,vise jeunes,placement publicitaire
"Ford Escape TV Commercial, 'Bring It Home
",https://www.ispot.tv/ad/7pAy/ford-escape-go-further,,,,,,,
"Dodge Commercial By Vin Diesel Brotherhood Of Muscle",https://www.youtube.com/watch?v=dPbK0n5qqpU,,,1,,,,
"Cadillac ELR Coupe 2014 Commercial",https://www.youtube.com/watch?v=xNzXze5Yza8,,,,1,,,
Fiat 500 S,https://www.youtube.com/watch?v=ZoC1QWlLFKI,,,,,1,,
Fiat 500 S,https://www.youtube.com/watch?v=NLXaYGkBld4,,,,,1,,
Ford India,https://www.youtube.com/watch?v=1pjlq5wVVas,,,,,1,,
"2020 Ford Escape TV Commercial, 'Squeeze' [T1]",https://www.ispot.tv/ad/Zjtn/2020-ford-escape-squeeze-t1,1,1,,,,,
"Acura Memorial Day Event TV Commercial, 'Watch This' [T2]",https://www.ispot.tv/ad/nBkV/acura-memorial-day-event-watch-this-t2,,,1,,,,
"Dodge Power Dollars TV Commercial, 'House of Power' Song by AC/DC [T2
",https://www.ispot.tv/ad/ZUr0/dodge-power-dollars-house-of-power-song-by-ac-dc-t2,,,,,1,,
"Top 10 Best Cars for Teens: The Short List
",https://www.youtube.com/watch?v=htf_e6THExo,,,,,,1,
"Kia Niro / Hero’s Journey (United States)",https://www.youtube.com/watch?v=KeVHmLY7YZc,1,,,,,,
"Ford Mustang in ""Gotham""",https://www.youtube.com/watch?v=AVcRMh3T_rE,,,,,,,1
"The All-New 2020 Lincoln Aviator | Warm Escape | Lincoln",https://www.youtube.com/watch?v=dq4Qj_vG9Tg,1,,,,,,
"GMC “Like A Pro” Commercials",https://www.youtube.com/watch?v=uNTiJE4AjBE,,,,,,,
